Race Codes: ,,,,,,,,,,,,,,,,,,,,,,,,
AI: ,AMERICAN INDIAN OR ALASKAN NATIVE,,,,,,,,,,,,,,,,,,,,,,,
AP: ,ASIAN OR PACIFIC ISLANDER,,,,,,,,,,,,,,,,,,,,,,,
BH: ,BLACK NOT OF HISPANIC ORIGIN,,,,,,,,,,,,,,,,,,,,,,,
HP: ,HISPANIC,,,,,,,,,,,,,,,,,,,,,,,
WH: ,WHITE NOT OF HISPANIC ORIGIN,,,,,,,,,,,,,,,,,,,,,,,
OT: ,OTHER,,,,,,,,,,,,,,,,,,,,,,,
UK: ,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,
COUNTY ID,COUNTY NAME,      AI         MALE  VOTERS,    AI        FEMALE VOTERS,    AI        UNKNOWN VOTERS,AP    MALE  VOTERS,    AP        FEMALE VOTERS,    AP        UNKNOWN VOTERS,    BH     MALE VOTERS,    BH     FEMALE VOTERS,    BH        UNKNOWN VOTERS,    HP       MALE  VOTERS,    HP       FEMALE  VOTERS,    HP        UNKNOWN VOTERS,    WH      MALE  VOTERS,   WH        FEMALE  VOTERS,    WH        UNKNOWN VOTERS,    OT        MALE  VOTERS,   OT      FEMALE  VOTERS,    OT        UNKNOWN VOTERS,    UK        MALE  VOTERS,UK        FEMALE VOTERS,    UK        UNKNOWN VOTERS,TOTAL VOTERS,
043,DECATUR,3,9,0,13,30,0,2176,3443,3,82,103,0,3920,4591,7,31,37,0,362,286,10,15106,
044,DEKALB,329,342,0,6026,6813,2,109766,145271,27,4989,5841,2,73094,81904,21,4024,5152,2,22720,22212,28,488565,
045,DODGE,2,1,0,13,18,0,1058,1574,1,24,29,0,3429,3797,4,11,14,0,220,204,0,10399,
046,DOOLY,0,2,0,12,10,0,1088,1597,1,34,42,0,1248,1384,0,10,8,0,106,94,1,5637,
047,DOUGHERTY,19,23,0,111,111,1,14539,21535,239,166,192,3,6931,8174,20,124,163,2,2404,2179,79,57015,
048,DOUGLAS,71,61,0,372,461,0,16269,22236,37,1230,1497,3,17158,19382,21,484,692,4,4315,4464,59,88816,
049,EARLY,1,1,0,7,8,0,1315,2034,3,9,14,0,1574,1765,0,6,9,1,107,91,0,6945,
050,ECHOLS,2,2,0,3,1,0,42,53,0,58,68,0,751,852,1,7,9,0,65,43,1,1958,
051,EFFINGHAM,34,24,0,83,123,1,1941,2519,2,271,283,2,13407,14435,30,83,118,2,2278,2217,16,37869,
052,ELBERT,0,5,0,19,24,0,1174,1711,1,52,51,0,3464,3990,0,17,18,0,284,252,3,11065,
053,EMANUEL,3,4,0,16,18,0,1389,2244,2,35,42,0,3460,3997,4,14,18,0,514,480,3,12243,
054,EVANS,1,3,0,11,12,0,558,885,1,37,43,0,1580,1804,1,11,13,0,263,245,1,5469,
055,FANNIN,16,18,0,12,33,0,12,18,0,53,48,0,7585,8437,7,31,25,0,505,474,4,17278,
056,FAYETTE,48,46,0,767,947,3,7927,9910,22,879,1119,4,24145,26384,43,458,555,1,4870,5136,55,83319,
057,FLOYD,22,17,0,170,225,2,2495,3842,4,503,605,1,17985,20940,16,90,114,2,2705,2509,10,52257,
058,FORSYTH,108,123,1,3806,4017,21,1794,2145,5,1937,2172,4,44105,48346,128,818,890,8,16043,15987,177,142635,
059,FRANKLIN,10,1,0,30,27,0,363,511,0,47,46,1,5250,5792,1,13,28,0,457,384,2,12963,
060,FULTON,368,382,3,9784,10457,68,122713,158313,265,7011,8125,35,131731,137431,334,5210,6168,34,45080,46198,772,690482,
061,GILMER,7,17,0,28,29,1,34,21,0,172,182,0,8242,8880,13,40,35,1,656,583,3,18944,
062,GLASCOCK,0,1,0,0,1,0,51,64,0,4,0,0,760,858,1,3,2,0,51,38,0,1834,
063,GLYNN,40,29,0,202,242,1,4575,6676,11,373,445,3,16355,19334,31,174,226,0,2496,2612,26,53851,
064,GORDON,26,21,0,90,107,0,533,598,0,643,788,0,12007,13504,1,76,88,0,799,608,5,29894,
065,GRADY,8,9,0,22,20,0,1498,2203,5,92,98,0,4001,4660,3,24,43,0,414,372,1,13473,
066,GREENE,2,2,0,27,35,0,1351,1969,1,58,55,0,3673,3976,1,21,20,0,392,384,7,11974,
067,GWINNETT,484,530,6,19963,20493,143,61339,80799,344,18370,21931,136,106835,116527,295,5850,7120,79,28614,29509,1058,520425,
068,HABERSHAM,8,15,0,139,148,0,199,260,0,379,324,1,9815,11118,11,55,49,0,1075,949,6,24551,
069,HALL,59,61,0,597,636,4,3352,4341,5,4207,4535,24,37679,42084,80,440,469,0,8170,7390,56,114189,
070,HANCOCK,2,0,0,4,1,0,1753,2210,1,8,3,0,652,657,0,8,9,0,131,125,1,5565,
071,HARALSON,7,13,0,42,46,0,318,397,1,37,35,0,7417,8295,11,26,32,0,615,520,3,17815,
072,HARRIS,10,13,0,53,93,1,1511,1821,3,143,169,1,8274,8893,7,73,82,0,741,739,8,22635,
073,HART,2,7,0,42,53,0,878,1302,0,46,44,0,5315,5968,6,23,14,0,424,408,4,14536,
074,HEARD,5,5,0,11,12,0,282,366,0,18,18,0,2609,2874,3,10,13,0,235,155,1,6617,
075,HENRY,77,61,0,1250,1437,5,27126,37005,30,1861,2308,3,30238,33201,40,1817,2205,6,6933,7684,58,153345,
